row,column,r_b,pop,POI,price_c,price_r,AREA
46,30,0.7,7899.0,69.0,35692.25,58.90221241,0.0
46,31,0.7,7994.05940594,86.0,29626.0,55.48994601,0.0
46,32,0.7,1077.0,5.0,99098.0,84.23298203,0.0
46,33,0.7,1639.39393939,9.0,0.0,117.19882533,0.0
46,34,0.7,1299.00990099,4.0,0.0,0.0,0.0
46,35,0.7,7899.00990099,85.0,46454.8333333,62.0428126033,0.0
46,36,0.7,5313.0,197.0,53669.0,70.0390964067,0.0
46,37,0.7,937.755102041,29.0,0.0,63.3642878,0.0
46,38,0.7,4316.66666667,78.0,0.0,0.0,0.0
46,39,0.7,3900.0,191.0,0.0,0.0,22424.49776490469
46,40,0.7,3420.0,269.0,25000.0,61.722009005,260564.23623705775
46,41,0.7,1503.03030303,24.0,6000.0,0.0,0.0
46,42,0.7,3246.0,28.0,20000.0,50.75271079,0.0
46,43,0.7,3965.68627451,194.0,29249.1666667,53.5207638133,0.0
46,44,0.7,137.0,0.0,0.0,191.806331,0.0
46,45,0.7,166.0,0.0,0.0,0.0,0.0
45,1,0.7,307.920792079,5.0,18000.0,0.0,127786.2722984992
45,2,0.7,507.070707071,9.0,10000.0,0.0,193433.51321594603
45,3,0.7,210.0,2.0,0.0,0.0,287727.41774709965
45,4,0.7,496.0,48.0,20000.0,0.0,258274.52665455095
45,5,0.7,873.0,25.0,10000.0,0.0,121927.17872466677
45,6,0.7,897.02970297,6.0,0.0,0.0,0.0
45,7,0.7,7048.48484848,76.0,19874.75,40.50095379,0.0
45,8,0.7,4462.0,21.0,27795.0,65.3445168033,131245.25842530324
45,9,0.7,2268.0,51.0,37549.0,52.0550382267,0.0
45,10,0.7,632.673267327,7.0,0.0,55.80765552,0.0
45,11,0.7,2606.12244898,46.0,28598.6666667,56.9590763667,0.0
45,12,0.7,1100.99009901,14.0,35373.0,65.5559664,0.0
45,13,0.7,58.4158415842,0.0,0.0,0.0,0.0
45,14,0.7,415.0,1.0,0.0,0.0,0.0
45,15,0.7,3209.09090909,25.0,10000.0,0.0,489633.0709765498
45,16,0.7,1588.11881188,13.0,0.0,0.0,0.0
45,17,0.8,4325.74257426,210.0,38232.0,50.29944118,992140.9178212952
45,18,0.7,2021.0,32.0,0.0,0.0,0.0
45,19,0.7,2227.55102041,4.0,0.0,56.791249,0.0
45,20,0.7,15470.5882353,213.0,60540.5,69.8816543533,0.0
45,21,0.7,12840.0,312.0,53112.0,83.0019691933,0.0
45,22,0.7,1402.97029703,21.0,58327.0,87.66091521,0.0
45,23,0.7,1690.90909091,90.0,35000.0,109.7136035,0.0
45,24,0.8,2425.0,43.0,10000.0,66.809715595,102651.1675845286
45,25,0.8,4547.52475248,31.0,20000.0,0.0,331864.8397185381
45,26,0.8,2378.0,0.0,0.0,62.4508536,0.0
45,27,0.8,2514.85148515,0.0,0.0,0.0,0.0
45,28,0.8,3471.71717172,47.0,34826.0,0.0,0.0
45,29,0.7,2294.0,25.0,20000.0,57.142857,24540.245693450943
45,30,0.7,5269.60784314,153.0,49139.3333333,67.01747223,0.0
45,31,0.7,307.0,11.0,0.0,66.86987869,0.0
45,32,0.7,396.96969697,10.0,0.0,63.035713445,0.0
45,33,0.7,304.0,7.0,0.0,0.0,0.0
45,34,0.7,1240.59405941,8.0,49844.5,68.31218389,0.0
45,35,0.7,2563.0,26.0,0.0,0.0,0.0
45,36,0.7,1741.83673469,13.0,0.0,60.308661,0.0
45,37,0.7,6095.09803922,209.0,40000.0,91.9568584,0.0
45,38,0.7,2317.0,20.0,19800.0,0.0,0.0
45,39,0.7,1062.37623762,6.0,0.0,0.0,0.0
45,40,0.7,7567.67676768,206.0,49877.0,83.59570545,0.0
45,41,0.7,2459.0,25.0,21060.0,76.61040457,0.0
45,42,0.7,84.1584158416,12.0,0.0,0.0,0.0
45,43,0.7,129.0,3.0,0.0,0.0,0.0
45,44,0.7,121.0,3.0,0.0,59.1429044,0.0
45,45,0.7,166.666666667,0.0,0.0,0.0,0.0
45,46,0.7,76.0,0.0,0.0,0.0,0.0
44,2,0.7,1120.0,20.0,0.0,0.0,190279.79791071083
44,3,0.7,569.0,6.0,10000.0,0.0,152019.66033307224
44,4,0.7,340.594059406,3.0,0.0,0.0,0.0
44,5,0.7,354.0,15.0,0.0,0.0,549822.2009045664
44,6,0.7,1306.0,29.0,24471.0,47.54168659,785814.3502568378
44,7,0.7,304.0,8.0,0.0,0.0,0.0
44,8,0.7,1002.0,12.0,0.0,36.946578715,0.0
44,9,0.7,513.861386139,9.0,0.0,48.449374345,60396.21004190117
44,10,0.7,263.265306122,5.0,0.0,61.19438393,0.0
44,11,0.7,2017.82178218,11.0,19800.0,0.0,0.0
44,12,0.7,114.851485149,0.0,0.0,40.542040065,0.0
44,13,0.7,29.0,0.0,0.0,0.0,0.0
44,14,0.7,45.9183673469,0.0,0.0,0.0,0.0
44,15,0.7,671.0,7.0,10000.0,0.0,206913.47967418272
44,16,0.8,1604.90196078,24.0,0.0,0.0,93272.574483455
44,17,0.8,11948.0,569.0,28100.0,48.15799727,0.0
44,18,0.8,2105.10204082,62.0,37284.0,70.3064319567,0.0
44,19,0.8,435.643564356,21.0,0.0,49.260571,0.0
44,20,0.8,13187.0,1149.0,30800.0,0.0,0.0
44,21,0.8,16981.1881188,187.0,46597.6,65.43107493,0.0
44,22,0.8,12459.5959596,169.0,50466.875,77.06676678,34290.65537702697
44,23,0.8,1552.0,3.0,0.0,66.89606004,0.0
44,24,0.8,1467.0,27.0,16666.6666667,68.427535,18989.577679863258
44,25,0.8,1977.0,29.0,0.0,72.88435647,0.0
44,26,0.8,2071.28712871,1.0,0.0,0.0,0.0
44,27,0.8,4185.85858586,16.0,34578.0,0.0,0.0
44,28,0.8,10726.0,179.0,28282.0,54.63896458,0.0
44,29,0.8,6023.0,54.0,45789.2857143,138.42106894,0.0
44,30,0.7,1210.89108911,11.0,34547.0,52.6920352367,0.0
44,31,0.7,352.040816327,4.0,0.0,51.997973095,0.0
44,32,0.7,662.376237624,9.0,0.0,0.0,0.0
44,33,0.7,2914.85148515,24.0,92019.0,82.19200013,0.0
44,34,0.7,11911.0,154.0,60018.125,59.8318335167,0.0
44,35,0.7,10387.755102,565.0,45019.6666667,75.4623527767,0.0
